City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Awjilah,LY,2021-04-06 21:28:41,29.1081,21.2869,64.26,59,89,15.61
1,Bluff,NZ,2021-04-06 21:28:42,-46.6,168.3333,54.0,85,100,4.0
2,Beira,MZ,2021-04-06 21:28:42,-19.8436,34.8389,78.01,61,0,11.48
3,Barcelos,PT,2021-04-06 21:28:21,41.5388,-8.6151,57.0,100,0,3.11
4,Provideniya,RU,2021-04-06 21:28:42,64.3833,-173.3,5.0,66,0,6.71
5,Roma,US,2021-04-06 21:28:02,43.2128,-75.4557,61.0,18,1,12.66
6,Los Llanos De Aridane,ES,2021-04-06 21:28:43,28.6585,-17.9182,66.2,77,0,4.61
7,Ushuaia,AR,2021-04-06 21:28:43,-54.8,-68.3,51.8,62,75,6.91
8,Ponta Do Sol,PT,2021-04-06 21:28:43,32.6667,-17.1,61.0,69,13,3.0
9,Ribeira Grande,PT,2021-04-06 21:25:40,38.5167,-28.7,62.6,77,20,4.61
10,Chuy,UY,2021-04-06 21:25:33,-33.6971,-53.4616,70.41,79,10,7.83
11,Hobart,AU,2021-04-06 21:25:10,-42.8794,147.3294,52.0,93,20,5.75
12,San Cristobal,VE,2021-04-06 21:28:45,7.7669,-72.225,87.8,48,40,11.5
13,Mana,GF,2021-04-06 21:28:45,5.6592,-53.7767,79.79,81,57,10.33
14,Jos,NG,2021-04-06 21:28:45,9.9167,8.9,77.36,18,24,4.18
15,Catamarca,AR,2021-04-06 21:28:46,-28.4696,-65.7852,81.0,72,13,11.01
16,Torbay,CA,2021-04-06 21:28:46,47.6666,-52.7314,39.0,100,90,11.5
17,Izmit,TR,2021-04-06 21:23:58,40.7669,29.9169,66.99,77,0,6.91
18,Neiafu,TO,2021-04-06 21:28:46,-18.65,-173.9833,80.6,69,20,5.75
19,Constitucion,CL,2021-04-06 21:28:47,-35.3333,-72.4167,62.74,70,96,6.33
20,Nhamunda,BR,2021-04-06 21:28:47,-2.1861,-56.7131,81.28,79,90,2.28
21,Cozumel,MX,2021-04-06 21:24:34,20.5083,-86.9458,80.6,61,90,12.66
22,Butaritari,KI,2021-04-06 21:28:48,3.0707,172.7902,80.11,76,100,4.29
23,Mahebourg,MU,2021-04-06 21:28:14,-20.4081,57.7,77.0,94,40,6.91
24,Palmer,US,2021-04-06 21:26:31,42.1584,-72.3287,66.2,26,20,10.36
25,Kyakhta,RU,2021-04-06 21:28:48,50.3508,106.4494,35.53,61,14,2.46
26,Port Alfred,ZA,2021-04-06 21:25:15,-33.5906,26.891,65.77,83,31,17.98
27,Husavik,IS,2021-04-06 21:28:50,66.0449,-17.3389,15.8,62,0,3.44
28,Spassk-Dalniy,RU,2021-04-06 21:28:50,44.5978,132.8211,31.62,53,31,6.73
29,Busselton,AU,2021-04-06 21:28:50,-33.65,115.3333,59.0,97,73,5.53
30,Rikitea,PF,2021-04-06 21:25:08,-23.1203,-134.9692,76.86,72,9,10.04
31,Greencastle,US,2021-04-06 21:28:51,39.6445,-86.8647,77.0,41,40,13.8
32,Albany,US,2021-04-06 21:25:34,42.6001,-73.9662,64.99,14,5,3.0
33,Faya,SA,2021-04-06 21:28:51,18.3851,42.4509,68.0,42,13,6.91
34,Tynda,RU,2021-04-06 21:28:52,55.1667,124.7167,-11.49,94,5,4.52
35,Nikitinskiy,RU,2021-04-06 21:28:52,54.5845,86.0115,34.2,85,100,11.54
36,Atuona,PF,2021-04-06 21:28:33,-9.8,-139.0333,80.67,79,68,10.6
37,Yellowknife,CA,2021-04-06 21:26:16,62.456,-114.3525,19.0,73,90,17.27
38,Fortuna,US,2021-04-06 21:28:42,40.5982,-124.1573,57.0,76,20,18.41
39,Port Elizabeth,ZA,2021-04-06 21:26:50,-33.918,25.5701,57.99,94,36,7.14
40,Katherine,AU,2021-04-06 21:28:53,-14.4667,132.2667,69.8,88,94,4.23
41,Geraldton,AU,2021-04-06 21:28:53,-28.7667,114.6,68.0,83,36,5.75
42,Gamba,GA,2021-04-06 21:28:53,-2.65,10.0,77.65,90,97,4.29
43,Baykit,RU,2021-04-06 21:28:54,61.67,96.37,36.59,98,100,4.56
44,Kapaa,US,2021-04-06 21:25:39,22.0752,-159.319,78.8,47,20,21.85
45,Pevek,RU,2021-04-06 21:28:54,69.7008,170.3133,-17.97,99,100,6.44
46,Cabo San Lucas,MX,2021-04-06 21:27:20,22.8909,-109.9124,80.6,60,1,4.61
47,Mao,ES,2021-04-06 21:24:30,39.8885,4.2658,53.6,66,20,13.8
48,Punta Arenas,CL,2021-04-06 21:28:28,-53.15,-70.9167,48.2,87,90,12.66
49,Anadyr,RU,2021-04-06 21:28:55,64.75,177.4833,-9.0,77,0,6.71
50,Cape Town,ZA,2021-04-06 21:28:39,-33.9258,18.4232,64.0,88,0,11.5
51,Ambahta,IN,2021-04-06 21:28:55,29.85,77.3333,78.73,21,100,10.33
52,Murgab,TM,2021-04-06 21:28:56,37.4966,61.9714,55.4,58,90,4.61
53,Saskylakh,RU,2021-04-06 21:28:56,71.9167,114.0833,7.74,95,100,7.34
54,Kokstad,ZA,2021-04-06 21:28:57,-30.5472,29.4241,56.55,96,100,3.74
55,Cidreira,BR,2021-04-06 21:28:32,-30.1811,-50.2056,73.78,81,0,13.42
56,Chokurdakh,RU,2021-04-06 21:28:57,70.6333,147.9167,-21.17,92,98,1.79
57,Carnarvon,AU,2021-04-06 21:25:06,-24.8667,113.6333,75.2,83,88,13.8
58,Nicoya,CR,2021-04-06 21:28:57,10.1483,-85.452,91.4,35,0,13.8
59,Grand Gaube,MU,2021-04-06 21:28:58,-20.0064,57.6608,77.0,94,40,6.91
60,Kidal,ML,2021-04-06 21:28:58,18.4411,1.4078,86.54,6,4,11.48
61,Flinders,AU,2021-04-06 21:28:30,-34.5833,150.8552,68.0,94,44,4.88
62,Severo-Kurilsk,RU,2021-04-06 21:28:58,50.6789,156.125,26.55,73,18,16.06
63,Burgeo,CA,2021-04-06 21:28:59,47.6167,-57.6152,42.21,95,100,14.09
64,Jamestown,US,2021-04-06 21:28:59,42.097,-79.2353,71.01,42,75,4.61
65,Buala,SB,2021-04-06 21:28:59,-8.145,159.5921,78.28,87,100,8.88
66,Puerto Ayora,EC,2021-04-06 21:28:53,-0.7393,-90.3518,80.6,83,20,9.22
67,Avarua,CK,2021-04-06 21:28:24,-21.2078,-159.775,82.4,69,75,13.8
68,Jixi,CN,2021-04-06 21:29:00,45.3,130.9667,28.96,31,32,11.05
69,Airai,TL,2021-04-06 21:27:03,-8.9266,125.4092,59.77,85,78,0.98
70,Thompson,CA,2021-04-06 21:29:00,55.7435,-97.8558,39.2,56,20,2.3
71,Bonfim,BR,2021-04-06 21:29:01,3.0833,-59.95,75.2,94,90,9.22
72,Victoria,HK,2021-04-06 21:24:47,22.2855,114.1577,73.0,82,87,1.01
73,Saint-Philippe,RE,2021-04-06 21:28:32,-21.3585,55.7679,78.8,69,0,5.75
74,Morro Bay,US,2021-04-06 21:25:23,35.3658,-120.8499,73.0,77,60,5.01
75,Bacalar,MX,2021-04-06 21:29:01,18.6667,-88.3833,82.0,69,75,11.5
76,San Patricio,US,2021-04-06 21:26:28,28.017,-97.5169,82.0,65,75,25.32
77,Half Moon Bay,US,2021-04-06 21:29:02,37.4636,-122.4286,64.99,76,90,8.05
78,Sovetskiy,RU,2021-04-06 21:29:02,61.3614,63.5842,27.52,96,4,2.77
79,Iqaluit,CA,2021-04-06 21:29:03,63.7506,-68.5145,14.0,92,90,5.75
80,Vaini,TO,2021-04-06 21:28:25,-21.2,-175.2,78.8,78,20,6.91
81,Upernavik,GL,2021-04-06 21:29:03,72.7868,-56.1549,8.38,92,100,16.6
82,Chernyshevskiy,RU,2021-04-06 21:29:04,63.0128,112.4714,25.63,95,100,4.79
83,Tuatapere,NZ,2021-04-06 21:29:04,-46.1333,167.6833,54.0,85,98,4.0
84,Mabaruma,GY,2021-04-06 21:29:04,8.2,-59.7833,77.22,93,100,4.99
85,Port Blair,IN,2021-04-06 21:29:04,11.6667,92.75,80.08,77,81,4.07
86,Suntar,RU,2021-04-06 21:29:05,62.1444,117.6319,16.02,95,100,7.31
87,Hilo,US,2021-04-06 21:29:05,19.7297,-155.09,69.8,83,90,10.36
88,Bredasdorp,ZA,2021-04-06 21:28:30,-34.5322,20.0403,57.2,94,67,1.14
89,Tuy Hoa,VN,2021-04-06 21:29:06,13.0833,109.3,73.58,92,89,3.38
90,Gornopravdinsk,RU,2021-04-06 21:29:06,60.05,69.9,30.81,95,100,10.49
91,Kaitangata,NZ,2021-04-06 21:28:39,-46.2817,169.8464,59.0,74,100,8.99
92,Saldanha,ZA,2021-04-06 21:25:53,-33.0117,17.9442,62.6,63,4,4.61
93,Tuka,PH,2021-04-06 21:29:06,6.52,124.585,74.19,87,99,0.85
94,Codrington,AU,2021-04-06 21:26:48,-38.2667,141.9667,50.81,93,19,6.33
95,Mataura,NZ,2021-04-06 21:28:20,-46.1927,168.8643,54.0,85,100,4.0
96,Shakiso,ET,2021-04-06 21:24:24,5.75,38.9167,59.05,95,16,2.44
97,Talnakh,RU,2021-04-06 21:29:07,69.4865,88.3972,25.7,97,100,2.8
98,Georgetown,MY,2021-04-06 21:25:11,5.4112,100.3354,79.0,94,20,2.3
99,Santa Clara,CU,2021-04-06 21:29:08,22.4,-79.9667,78.8,61,75,19.57
100,Tasiilaq,GL,2021-04-06 21:25:36,65.6145,-37.6368,21.2,93,100,20.71
101,Ancud,CL,2021-04-06 21:25:54,-41.8697,-73.8203,60.01,82,75,10.36
102,Lompoc,US,2021-04-06 21:29:08,34.6391,-120.4579,61.0,67,92,19.57
103,Kahului,US,2021-04-06 21:25:42,20.8947,-156.47,75.2,69,40,16.11
104,Kasongo,CD,2021-04-06 21:29:09,-4.45,26.6667,70.12,95,82,2.08
105,Havre-Saint-Pierre,CA,2021-04-06 21:29:09,50.2334,-63.5986,50.0,71,90,19.57
106,Ambulu,ID,2021-04-06 21:29:09,-8.345,113.6058,75.33,92,100,2.33
107,Gao,ML,2021-04-06 21:29:10,16.6362,1.637,87.01,7,35,9.6
108,Inirida,CO,2021-04-06 21:29:10,3.8653,-67.9239,77.4,92,86,3.33
109,Bardiyah,LY,2021-04-06 21:29:10,31.7561,25.0865,60.19,84,55,14.61
110,New Norfolk,AU,2021-04-06 21:29:11,-42.7826,147.0587,53.01,81,56,2.37
111,Moose Factory,CA,2021-04-06 21:28:15,51.2585,-80.6094,41.0,81,90,2.3
112,Alofi,NU,2021-04-06 21:26:41,-19.0595,-169.9187,82.4,78,40,5.75
113,Fort-Shevchenko,KZ,2021-04-06 21:29:11,44.5086,50.263,46.0,68,0,7.74
114,Kamsack,CA,2021-04-06 21:29:12,51.5667,-101.9009,60.8,21,1,11.5
115,Anzio,IT,2021-04-06 21:29:12,41.4853,12.6179,55.0,69,29,1.99
116,Tessalit,ML,2021-04-06 21:29:12,20.1986,1.0114,82.31,5,0,8.14
117,Omboue,GA,2021-04-06 21:28:34,-1.5746,9.2618,77.79,91,100,4.65
118,Gisborne,NZ,2021-04-06 21:29:13,-38.6533,178.0042,63.0,86,33,5.01
119,Belaya Gora,RU,2021-04-06 21:29:13,68.5333,146.4167,-11.87,97,100,1.5
120,Voznesenye,RU,2021-04-06 21:29:13,61.0106,35.4781,31.15,78,23,11.18
121,Izvestkovyy,RU,2021-04-06 21:29:14,48.9833,131.55,19.18,60,76,11.14
122,Clyde River,CA,2021-04-06 21:27:51,70.4692,-68.5914,12.2,67,20,13.8
123,Acajutla,SV,2021-04-06 21:28:35,13.5928,-89.8275,93.2,29,40,5.75
124,Iwaki,JP,2021-04-06 21:29:14,37.05,140.8833,39.99,91,90,6.42
125,Tateyama,JP,2021-04-06 21:29:15,34.9833,139.8667,50.0,77,62,11.48
126,Tangshan,CN,2021-04-06 21:29:15,39.6333,118.1833,51.33,45,0,4.92
127,Narsaq,GL,2021-04-06 21:28:28,60.9167,-46.05,35.6,87,75,2.3
128,Castro,BR,2021-04-06 21:28:52,-24.7911,-50.0119,62.83,89,60,4.23
129,Mnogovershinnyy,RU,2021-04-06 21:29:16,53.9353,139.9242,20.62,96,100,5.84
130,Qaanaaq,GL,2021-04-06 21:29:16,77.484,-69.3632,1.98,84,100,1.66
131,Woodward,US,2021-04-06 21:29:16,36.4337,-99.3904,84.2,34,1,29.93
132,Padang,ID,2021-04-06 21:29:17,-0.9492,100.3543,75.2,94,20,3.44
133,Bambous Virieux,MU,2021-04-06 21:28:39,-20.3428,57.7575,77.0,94,40,6.91
134,Conde,BR,2021-04-06 21:25:07,-7.2597,-34.9075,80.6,78,0,10.36
135,Linhares,BR,2021-04-06 21:29:17,-19.3911,-40.0722,72.79,77,26,5.01
136,Sibolga,ID,2021-04-06 21:29:17,1.7427,98.7792,75.52,88,54,3.27
137,Porto Velho,BR,2021-04-06 21:29:18,-8.7619,-63.9039,82.4,78,75,2.3
138,Nyurba,RU,2021-04-06 21:25:37,63.2842,118.3319,12.87,95,100,7.7
139,Bayreuth,DE,2021-04-06 21:29:18,49.9481,11.5783,32.0,86,100,5.01
140,Dukhovshchina,RU,2021-04-06 21:29:19,55.1919,32.4111,33.19,70,100,2.68
141,Hithadhoo,MV,2021-04-06 21:28:14,-0.6,73.0833,83.32,61,97,10.42
142,Dunedin,NZ,2021-04-06 21:29:19,-45.8742,170.5036,57.99,66,58,7.0
143,Laguna,US,2021-04-06 21:29:19,38.421,-121.4238,75.99,40,1,8.05
144,Olafsvik,IS,2021-04-06 21:26:33,64.8945,-23.7142,28.04,67,73,5.48
145,Mandera,KE,2021-04-06 21:29:20,3.9366,41.867,86.29,55,16,5.5
146,Khuzhir,RU,2021-04-06 21:29:20,53.1939,107.3397,25.84,87,40,3.47
147,Katsuura,JP,2021-04-06 21:25:31,35.1333,140.3,50.0,77,54,11.97
148,Te Anau,NZ,2021-04-06 21:29:21,-45.4167,167.7167,49.1,85,27,0.78
149,Hamilton,US,2021-04-06 21:29:21,39.1834,-84.5333,77.0,41,40,11.5
150,Colares,PT,2021-04-06 21:29:21,38.7992,-9.4469,61.0,39,0,10.36
151,Kloulklubed,PW,2021-04-06 21:29:21,7.0419,134.2556,77.0,94,75,3.44
152,San Quintin,MX,2021-04-06 21:29:22,30.4833,-115.95,66.15,62,87,19.06
153,Longyearbyen,SJ,2021-04-06 21:29:22,78.2186,15.6401,10.4,48,20,12.66
154,Teya,RU,2021-04-06 21:29:23,60.3778,92.6267,33.51,86,100,9.1
155,Pisco,PE,2021-04-06 21:29:23,-13.7,-76.2167,77.0,65,0,20.71
156,Hokitika,NZ,2021-04-06 21:29:23,-42.7167,170.9667,56.55,73,8,3.31
157,Maniitsoq,GL,2021-04-06 21:29:23,65.4167,-52.9,23.47,81,19,4.56
158,Dingle,PH,2021-04-06 21:29:10,10.9995,122.6711,74.26,90,91,6.8
159,Mapastepec,MX,2021-04-06 21:29:24,15.4333,-92.9,91.72,43,100,8.68
160,Salalah,OM,2021-04-06 21:29:03,17.0151,54.0924,80.6,74,0,2.3
161,Barrow,US,2021-04-06 21:29:24,71.2906,-156.7887,-5.8,77,1,11.5
162,College,US,2021-04-06 21:29:25,64.8569,-147.8028,12.0,61,20,1.74
163,Avera,US,2021-04-06 21:29:25,33.194,-82.5271,82.4,21,1,3.44
164,Yerofey Pavlovich,RU,2021-04-06 21:29:25,53.9667,121.9667,4.17,85,60,3.2
165,Weingarten,DE,2021-04-06 21:29:26,47.8,9.6333,30.99,93,90,4.61
166,Sept-Iles,CA,2021-04-06 21:25:24,50.2001,-66.3821,50.0,76,100,4.61
167,Zhob,PK,2021-04-06 21:29:26,31.3411,69.4481,58.46,14,0,11.23
168,Aklavik,CA,2021-04-06 21:26:54,68.2191,-135.0107,1.4,60,90,4.83
169,Gat,IL,2021-04-06 21:29:27,31.61,34.7642,73.0,31,75,2.71
170,Lovozero,RU,2021-04-06 21:29:27,68.005,35.0117,19.78,95,71,7.94
171,Ginda,IN,2021-04-06 21:29:27,30.6945,78.4932,54.59,58,100,8.86
172,Ubinskoye,RU,2021-04-06 21:29:28,55.3068,79.6802,30.78,84,100,12.39
173,Ozuluama,MX,2021-04-06 21:29:28,21.6667,-97.85,84.76,48,0,16.51
174,The Valley,AI,2021-04-06 21:29:18,18.217,-63.0578,80.6,73,20,8.05
175,Alamor,EC,2021-04-06 21:29:28,-4.0181,-80.0197,86.0,66,75,10.36
176,Sao Filipe,CV,2021-04-06 21:29:13,14.8961,-24.4956,76.66,61,0,7.4
177,Crixas,BR,2021-04-06 21:29:29,-14.5489,-49.9692,77.59,80,92,4.47
178,Lavrentiya,RU,2021-04-06 21:29:16,65.5833,-171.0,1.78,84,9,3.94
179,Vardo,NO,2021-04-06 21:29:29,70.3705,31.1107,33.8,69,75,21.85
180,Manono,CD,2021-04-06 21:29:30,-7.3,27.4167,70.81,91,39,3.51
181,Murdochville,CA,2021-04-06 21:29:30,48.9583,-65.5006,39.2,100,100,5.75
182,Esperance,AU,2021-04-06 21:29:05,-33.8667,121.9,64.4,100,90,3.44
183,Portland,US,2021-04-06 21:24:37,45.5234,-122.6762,63.0,38,1,8.05
184,Mar Del Plata,AR,2021-04-06 21:25:39,-38.0023,-57.5575,71.01,94,75,11.5
185,Sairang,IN,2021-04-06 21:29:31,23.8,92.6667,66.9,57,0,3.38
186,Norman Wells,CA,2021-04-06 21:25:17,65.282,-126.8329,6.8,51,75,2.3
187,Progreso,MX,2021-04-06 21:28:23,21.2833,-89.6667,93.2,29,75,10.36
188,San Ignacio,BZ,2021-04-06 21:29:31,17.1561,-89.0714,89.6,51,75,9.22
189,Lebu,CL,2021-04-06 21:28:37,-37.6167,-73.65,58.55,87,100,8.28
190,Kaoma,ZM,2021-04-06 21:29:32,-14.7833,24.8,67.3,63,88,4.45
191,Westerland,DE,2021-04-06 21:29:32,54.9079,8.3033,37.4,70,20,20.71
192,Homer,US,2021-04-06 21:29:32,59.6425,-151.5483,30.0,31,1,5.01
193,Clifton,US,2021-04-06 21:26:05,40.8584,-74.1638,69.8,11,1,11.5
194,Nemuro,JP,2021-04-06 21:25:45,43.3236,145.575,33.49,74,100,7.52
195,Kodiak,US,2021-04-06 21:29:33,57.79,-152.4072,37.4,48,1,12.66
196,East London,ZA,2021-04-06 21:27:07,-33.0153,27.9116,66.34,81,69,16.55
197,Hofn,IS,2021-04-06 21:29:14,64.2539,-15.2082,23.63,53,100,0.4
198,Salina,US,2021-04-06 21:27:08,38.8403,-97.6114,71.01,68,90,25.32
199,Buchanan,LR,2021-04-06 21:29:34,5.8808,-10.0467,80.6,89,75,3.04
200,Namibe,AO,2021-04-06 21:25:18,-15.1961,12.1522,77.74,79,96,2.15
201,Aksu,CN,2021-04-06 21:29:35,41.1231,80.2644,52.56,40,98,8.19
202,Kabinda,CD,2021-04-06 21:29:35,-6.1333,24.4833,67.26,95,100,1.79
203,Paamiut,GL,2021-04-06 21:29:35,61.994,-49.6678,32.31,99,100,2.39
204,Barguzin,RU,2021-04-06 21:29:36,53.6167,109.6167,25.77,84,13,1.39
205,Perehonivka,UA,2021-04-06 21:29:36,48.5355,30.5192,43.11,81,100,12.66
206,Arraial Do Cabo,BR,2021-04-06 21:29:36,-22.9661,-42.0278,77.0,69,20,10.36
207,Great Falls,US,2021-04-06 21:27:32,47.5002,-111.3008,55.99,28,1,9.22
208,Hirara,JP,2021-04-06 21:29:37,24.8,125.2833,68.74,66,0,24.14
209,Ucluelet,CA,2021-04-06 21:26:08,48.9329,-125.5528,50.0,81,90,8.05
210,Beringovskiy,RU,2021-04-06 21:29:37,63.05,179.3167,-3.03,84,12,7.0
211,Vila Do Maio,CV,2021-04-06 21:29:37,15.1333,-23.2167,78.8,36,0,19.57
212,Mozarlandia,BR,2021-04-06 21:29:38,-14.7447,-50.5706,79.41,77,99,2.62
213,Nome,US,2021-04-06 21:28:09,64.5011,-165.4064,12.2,52,1,7.23
214,Beisfjord,NO,2021-04-06 21:29:38,68.3751,17.5988,30.2,93,90,13.8
215,Hermanus,ZA,2021-04-06 21:29:39,-34.4187,19.2345,59.0,90,30,1.01
216,Saurimo,AO,2021-04-06 21:29:39,-9.6608,20.3916,66.42,91,100,0.74
217,Bengkulu,ID,2021-04-06 21:25:57,-3.8004,102.2655,74.1,87,99,4.74
218,Sistranda,NO,2021-04-06 21:29:39,63.7256,8.834,35.6,87,75,24.16
219,Shelabolikha,RU,2021-04-06 21:29:40,53.4131,82.6167,37.4,75,0,6.71
220,Tiksi,RU,2021-04-06 21:25:34,71.6872,128.8694,-13.2,99,44,6.24
221,Port Augusta,AU,2021-04-06 21:29:40,-32.5,137.7667,53.6,94,0,3.44
222,Ouadda,CF,2021-04-06 21:29:40,8.0777,22.4007,78.78,19,93,1.07
223,Hambantota,LK,2021-04-06 21:29:14,6.1241,81.1185,75.2,100,40,3.44
224,Korla,CN,2021-04-06 21:29:41,41.7597,86.1469,54.68,27,100,9.1
225,Jibuti,DJ,2021-04-06 21:29:41,11.5,42.5,80.6,61,1,13.35
226,Umkomaas,ZA,2021-04-06 21:29:41,-30.2067,30.7978,68.0,97,95,1.01
227,Bada,RU,2021-04-06 21:29:42,51.392,109.8717,26.94,85,6,3.24
228,Cherskiy,RU,2021-04-06 21:29:42,68.75,161.3,-15.59,95,26,1.43
229,Itarema,BR,2021-04-06 21:27:27,-2.9248,-39.9167,80.78,76,100,13.22
230,Athni,IN,2021-04-06 21:29:43,16.7333,75.0667,83.23,34,13,8.41
231,Arlit,NE,2021-04-06 21:29:43,18.7369,7.3853,84.69,5,3,5.19
232,Sulangan,PH,2021-04-06 21:29:43,11.1373,123.7228,80.13,79,95,19.19
233,Abu Kamal,SY,2021-04-06 21:29:44,34.4506,40.9171,71.58,26,0,12.75
234,Zhigansk,RU,2021-04-06 21:28:48,66.7697,123.3711,-12.48,99,95,9.91
235,Hasaki,JP,2021-04-06 21:29:44,35.7333,140.8333,43.0,93,40,4.61
236,Ayrum,AM,2021-04-06 21:29:45,41.1898,44.9014,48.2,76,0,11.5
237,Taoudenni,ML,2021-04-06 21:29:45,22.6783,-3.9836,85.6,11,0,9.08
238,Mayor Pablo Lagerenza,PY,2021-04-06 21:29:45,-19.9309,-60.7718,82.96,61,73,5.99
239,Placido De Castro,BR,2021-04-06 21:29:45,-10.3353,-67.1856,85.48,69,58,3.22
240,Nizhneudinsk,RU,2021-04-06 21:29:46,54.9076,99.0276,31.6,91,4,3.42
241,Mangrol,IN,2021-04-06 21:29:46,21.1167,70.1167,78.55,75,0,10.58
242,Udachnyy,RU,2021-04-06 21:29:47,66.4167,112.4,17.96,95,100,5.14
243,Sorland,NO,2021-04-06 21:29:47,67.667,12.6934,35.6,69,75,29.93
244,Cassilandia,BR,2021-04-06 21:29:47,-19.1133,-51.7342,75.09,68,85,3.49
245,Chicama,PE,2021-04-06 21:29:48,-7.8447,-79.1469,69.8,88,40,10.36
246,Leningradskiy,RU,2021-04-06 21:28:47,69.3833,178.4167,-8.01,91,65,6.08
247,High Level,CA,2021-04-06 21:29:48,58.5169,-117.136,37.4,70,75,9.22
248,Saint-Pierre,RE,2021-04-06 21:29:48,-21.3393,55.4781,78.8,69,0,5.75
249,Maragogi,BR,2021-04-06 21:29:49,-9.0122,-35.2225,78.44,78,99,7.81
250,Hualmay,PE,2021-04-06 21:27:05,-11.0964,-77.6139,73.9,74,94,10.18
251,Lagoa,PT,2021-04-06 21:25:14,39.05,-27.9833,60.04,83,100,9.48
252,Sao Joao Da Barra,BR,2021-04-06 21:26:40,-21.6403,-41.0511,77.0,69,0,9.22
253,Raudeberg,NO,2021-04-06 21:29:50,61.9875,5.1352,37.0,90,91,23.78
254,Dikson,RU,2021-04-06 21:29:50,73.5069,80.5464,-6.41,100,92,5.93
255,Farroupilha,BR,2021-04-06 21:29:50,-29.225,-51.3478,72.0,68,20,6.91
256,Marystown,CA,2021-04-06 21:29:51,47.1666,-55.1483,40.53,96,100,12.35
257,Kruisfontein,ZA,2021-04-06 21:29:40,-34.0033,24.7314,57.0,93,43,5.08
258,Ilulissat,GL,2021-04-06 21:29:51,69.2167,-51.1,19.4,86,75,9.22
259,Klaksvik,FO,2021-04-06 21:29:52,62.2266,-6.589,28.4,69,75,23.02
260,Jackson,US,2021-04-06 21:25:17,42.4165,-122.8345,69.01,34,1,3.2
261,Yulara,AU,2021-04-06 21:29:52,-25.2406,130.9889,62.6,55,1,5.75
262,Rapid Valley,US,2021-04-06 21:29:52,44.0625,-103.1463,35.01,80,90,21.85
263,Kavieng,PG,2021-04-06 21:29:53,-2.5744,150.7967,79.92,82,100,10.8
264,Lethem,GY,2021-04-06 21:29:53,3.3803,-59.7968,75.2,94,90,9.22
265,Ponta Delgada,PT,2021-04-06 21:29:53,37.7333,-25.6667,59.0,94,40,4.61
266,Leshukonskoye,RU,2021-04-06 21:29:54,64.8989,45.7622,38.25,83,99,13.65
267,Chabahar,IR,2021-04-06 21:29:54,25.2919,60.643,78.98,51,0,5.28
268,Carire,BR,2021-04-06 21:29:54,-3.9506,-40.4733,81.1,58,100,2.75
269,Ketchikan,US,2021-04-06 21:24:57,55.3422,-131.6461,37.4,93,90,5.75
270,Khatanga,RU,2021-04-06 21:25:09,71.9667,102.5,-10.07,100,99,7.0
271,Sitka,US,2021-04-06 21:25:03,57.0531,-135.33,33.8,93,90,6.93
272,Nanortalik,GL,2021-04-06 21:29:04,60.1432,-45.2371,34.97,98,100,7.81
273,Hadejia,NG,2021-04-06 21:29:55,12.4498,10.0444,88.57,12,18,8.14
